"Model:WTU125-L30V"
"operator:172"
"0# CH"
"ID:0"
"12-20 17:53:11  rd sn
12-21 08:15:32  ST,125,x,127370,127301,+00.3169,y,128707,128631,-00.0232,+00.0013

12-21 08:15:33  rd m all
12-21 08:15:33  ST,125,x,127371,127302,+00.3172,y,128707,128631,-00.0232,+00.0013

12-21 08:15:35  rd m all
12-21 08:15:35  ST,125,x,127370,127301,+00.3169,y,128707,128631,-00.0232,+00.0013

12-21 08:45:44  rd m all
12-21 08:45:44  ST,120,x,127386,127308,+00.3189,y,128718,128629,-00.0238,+00.0013

12-21 08:45:45  rd m all
12-21 08:45:46  ST,120,x,127386,127308,+00.3189,y,128718,128629,-00.0238,+00.0013

12-21 08:45:47  rd m all
12-21 08:45:47  ST,120,x,127386,127308,+00.3189,y,128718,128629,-00.0238,+00.0013

12-21 08:45:48  rd m all
12-21 08:45:49  ST,120,x,127386,127308,+00.3189,y,128718,128629,-00.0238,+00.0013

12-21 08:45:50  rd m all
12-21 08:45:50  ST,120,x,127386,127308,+00.3189,y,128718,128629,-00.0238,+00.0013

12-21 09:15:59  rd m all
12-21 09:15:59  ST,114,x,127397,127309,+00.3192,y,128728,128623,-00.0255,+00.0013

12-21 09:16:00  rd m all
12-21 09:16:01  ST,114,x,127397,127309,+00.3192,y,128728,128623,-00.0255,+00.0013

12-21 09:16:02  rd m all
12-21 09:16:02  ST,114,x,127397,127309,+00.3192,y,128728,128623,-00.0255,+00.0013

12-21 09:16:03  rd m all
12-21 09:16:04  ST,114,x,127397,127309,+00.3192,y,128728,128623,-00.0255,+00.0013

12-21 09:16:05  rd m all
12-21 09:16:05  ST,114,x,127397,127309,+00.3192,y,128728,128623,-00.0255,+00.0013

12-21 09:46:14  rd m all
12-21 09:46:14  ST,108,x,127407,127309,+00.3192,y,128735,128614,-00.0281,+00.0013

12-21 09:46:16  rd m all
12-21 09:46:16  ST,108,x,127407,127309,+00.3192,y,128736,128615,-00.0278,+00.0013

12-21 09:46:17  rd m all
