"Model:WTU125-L30V-002"
"operator:172"
"0# CH"
"ID:0"
"12-21 15:59:56  rd sn
12-21 22:48:30  ST,213,x,128462,128463,+00.3352,y,127266,127357,-00.0031,+00.0013

12-21 22:48:32  rd m all
12-21 22:48:32  ST,213,x,128462,128463,+00.3352,y,127275,127366,-00.0005,+00.0013

12-21 22:48:33  rd m all
12-21 22:48:33  ST,213,x,128462,128463,+00.3352,y,127275,127366,-00.0005,+00.0013

12-21 23:18:42  rd m all
12-21 23:18:42  ST,208,x,128465,128469,+00.3369,y,127300,127384,+00.0045,+00.0013

12-21 23:18:44  rd m all
12-21 23:18:44  ST,208,x,128465,128469,+00.3369,y,127300,127384,+00.0045,+00.0013

12-21 23:18:45  rd m all
12-21 23:18:45  ST,208,x,128461,128465,+00.3358,y,127273,127357,-00.0031,+00.0013

12-21 23:18:47  rd m all
12-21 23:18:47  ST,208,x,128461,128465,+00.3358,y,127273,127357,-00.0031,+00.0013

12-21 23:18:48  rd m all
12-21 23:18:48  ST,208,x,128461,128465,+00.3358,y,127271,127355,-00.0037,+00.0013

12-21 23:48:57  rd m all
12-21 23:48:57  ST,201,x,128468,128475,+00.3386,y,127324,127399,+00.0088,+00.0013

12-21 23:48:59  rd m all
12-21 23:48:59  ST,201,x,128468,128475,+00.3386,y,127267,127342,-00.0074,+00.0013

12-21 23:49:00  rd m all
12-21 23:49:00  ST,201,x,128468,128475,+00.3386,y,127285,127360,-00.0023,+00.0013

12-21 23:49:02  rd m all
12-21 23:49:02  ST,201,x,128468,128475,+00.3386,y,127285,127360,-00.0023,+00.0013

12-21 23:49:03  rd m all
12-21 23:49:03  ST,201,x,128468,128475,+00.3386,y,127287,127362,-00.0017,+00.0013

12-22 00:19:12  rd m all
12-22 00:19:13  ST,196,x,128471,128481,+00.3403,y,127293,127361,-00.0020,+00.0013

12-22 00:19:14  rd m all
12-22 00:19:14  ST,196,x,128471,128481,+00.3403,y,127293,127361,-00.0020,+00.0013

12-22 00:19:15  rd m all
12-22 00:19:16  ST,196,x,128471,128481,+00.3403,y,127293,127361,-00.0020,+00.0013

12-22 00:19:17  rd m all
12-22 00:19:17  ST,196,x,128471,128481,+00.3403,y,127293,127361,-00.0020,+00.0013

12-22 00:19:18  rd m all
12-22 00:19:19  ST,196,x,128471,128481,+00.3403,y,127293,127361,-00.0020,+00.0013

12-22 00:49:27  rd m all
12-22 00:49:28  ST,191,x,128476,128483,+00.3409,y,127265,127317,-00.0146,+00.0013

12-22 00:49:29  rd m all
12-22 00:49:29  ST,190,x,128476,128483,+00.3409,y,127312,127361,-00.0020,+00.0013

12-22 00:49:30  rd m all
12-22 00:49:31  ST,190,x,128476,128483,+00.3409,y,127312,127361,-00.0020,+00.0013

12-22 00:49:32  rd m all
12-22 00:49:32  ST,190,x,128476,128483,+00.3409,y,127306,127355,-00.0037,+00.0013

12-22 00:49:33  rd m all
12-22 00:49:34  ST,190,x,128476,128483,+00.3409,y,127303,127352,-00.0046,+00.0013

12-22 01:19:43  rd m all
12-22 01:19:43  ST,185,x,128472,128477,+00.3392,y,127251,127285,-00.0238,+00.0013

12-22 01:19:44  rd m all
12-22 01:19:44  ST,185,x,128484,128489,+00.3426,y,127343,127377,+00.0025,+00.0013

12-22 01:19:46  rd m all
12-22 01:19:46  ST,185,x,128484,128489,+00.3426,y,127343,127377,+00.0025,+00.0013

12-22 01:19:47  rd m all
12-22 01:19:47  ST,185,x,128482,128487,+00.3421,y,127310,127344,-00.0069,+00.0013

12-22 01:19:49  rd m all
12-22 01:19:49  ST,185,x,128483,128488,+00.3423,y,127318,127352,-00.0046,+00.0013

12-22 01:49:58  rd m all
12-22 01:49:58  ST,179,x,128494,128496,+00.3446,y,127306,127321,-00.0135,+00.0013

12-22 01:49:59  rd m all
12-22 01:49:59  ST,179,x,128494,128496,+00.3446,y,127306,127321,-00.0135,+00.0013

12-22 01:50:01  rd m all
12-22 01:50:01  ST,179,x,128492,128494,+00.3441,y,127323,127338,-00.0086,+00.0013

12-22 01:50:02  rd m all
12-22 01:50:02  ST,179,x,128492,128494,+00.3441,y,127323,127338,-00.0086,+00.0013

12-22 01:50:04  rd m all
12-22 01:50:04  ST,179,x,128493,128495,+00.3444,y,127330,127345,-00.0066,+00.0013

12-22 02:20:13  rd m all
12-22 02:20:13  ST,174,x,128498,128498,+00.3452,y,127340,127340,-00.0080,+00.0013

12-22 02:20:14  rd m all
12-22 02:20:15  ST,174,x,128498,128498,+00.3452,y,127340,127340,-00.0080,+00.0013

12-22 02:20:16  rd m all
12-22 02:20:16  ST,174,x,128501,128501,+00.3461,y,127337,127337,-00.0089,+00.0013

12-22 02:20:17  rd m all
12-22 02:20:18  ST,174,x,128502,128502,+00.3464,y,127343,127343,-00.0071,+00.0013

12-22 02:20:19  rd m all
12-22 02:20:19  ST,174,x,128502,128502,+00.3464,y,127343,127343,-00.0071,+00.0013

12-22 02:50:28  rd m all
12-22 02:50:28  ST,169,x,128568,128568,+00.3652,y,127494,127477,+00.0312,+00.0013

12-22 02:50:29  rd m all
12-22 02:50:30  ST,169,x,128511,128511,+00.3489,y,127347,127330,-00.0109,+00.0013

12-22 02:50:31  rd m all
12-22 02:50:31  ST,169,x,128511,128511,+00.3489,y,127352,127335,-00.0094,+00.0013

12-22 02:50:32  rd m all
12-22 02:50:33  ST,168,x,128511,128510,+00.3486,y,127352,127332,-00.0103,+00.0013

12-22 02:50:34  rd m all
12-22 02:50:34  ST,169,x,128509,128509,+00.3484,y,127352,127335,-00.0094,+00.0013

12-22 03:20:43  rd m all
12-22 03:20:43  ST,163,x,128527,128525,+00.3529,y,127404,127367,-00.0002,+00.0013

12-22 03:20:45  rd m all
12-22 03:20:45  ST,163,x,128527,128525,+00.3529,y,127404,127367,-00.0002,+00.0013

12-22 03:20:46  rd m all
12-22 03:20:46  ST,163,x,128521,128519,+00.3512,y,127388,127351,-00.0048,+00.0013

12-22 03:20:48  rd m all
12-22 03:20:48  ST,163,x,128518,128516,+00.3504,y,127361,127324,-00.0126,+00.0013

12-22 03:20:49  rd m all
12-22 03:20:49  ST,163,x,128518,128516,+00.3504,y,127361,127324,-00.0126,+00.0013

12-22 03:50:58  rd m all
12-22 03:50:58  ST,157,x,128507,128504,+00.3469,y,127372,127315,-00.0152,+00.0013

12-22 03:51:00  rd m all
12-22 03:51:00  ST,157,x,128527,128524,+00.3526,y,127363,127306,-00.0178,+00.0013

12-22 03:51:01  rd m all
12-22 03:51:01  ST,157,x,128531,128528,+00.3538,y,127397,127340,-00.0080,+00.0013

12-22 03:51:03  rd m all
12-22 03:51:03  ST,157,x,128531,128528,+00.3538,y,127397,127340,-00.0080,+00.0013

12-22 03:51:04  rd m all
12-22 03:51:04  ST,157,x,128530,128527,+00.3535,y,127383,127326,-00.0120,+00.0013

12-22 04:21:13  rd m all
12-22 04:21:13  ST,152,x,128583,128579,+00.3684,y,127569,127494,+00.0361,+00.0013

12-22 04:21:15  rd m all
12-22 04:21:15  ST,152,x,128539,128535,+00.3558,y,127400,127325,-00.0123,+00.0013

12-22 04:21:16  rd m all
12-22 04:21:16  ST,152,x,128536,128532,+00.3549,y,127381,127306,-00.0178,+00.0013

12-22 04:21:18  rd m all
12-22 04:21:18  ST,152,x,128536,128532,+00.3549,y,127381,127306,-00.0178,+00.0013

12-22 04:21:19  rd m all
12-22 04:21:19  ST,152,x,128537,128533,+00.3552,y,127400,127325,-00.0123,+00.0013

12-22 04:51:28  rd m all
12-22 04:51:28  ST,146,x,128560,128549,+00.3598,y,127413,127311,-00.0163,+00.0013

12-22 04:51:30  rd m all
12-22 04:51:30  ST,146,x,128560,128549,+00.3598,y,127413,127311,-00.0163,+00.0013

12-22 04:51:31  rd m all
12-22 04:51:31  ST,146,x,128548,128537,+00.3564,y,127389,127287,-00.0233,+00.0013

12-22 04:51:33  rd m all
12-22 04:51:33  ST,146,x,128551,128540,+00.3572,y,127420,127318,-00.0143,+00.0013

12-22 04:51:34  rd m all
12-22 04:51:34  ST,146,x,128551,128540,+00.3572,y,127420,127318,-00.0143,+00.0013

12-22 05:21:43  rd m all
12-22 05:21:44  ST,141,x,128565,128547,+00.3592,y,127430,127305,-00.0181,+00.0013

12-22 05:21:45  rd m all
12-22 05:21:45  ST,141,x,128561,128543,+00.3581,y,127430,127305,-00.0181,+00.0013

12-22 05:21:46  rd m all
12-22 05:21:47  ST,141,x,128561,128543,+00.3581,y,127430,127305,-00.0181,+00.0013

12-22 05:21:48  rd m all
12-22 05:21:48  ST,141,x,128561,128543,+00.3581,y,127430,127305,-00.0181,+00.0013

12-22 05:21:49  rd m all
12-22 05:21:50  ST,141,x,128564,128546,+00.3589,y,127430,127305,-00.0181,+00.0013

12-22 05:51:58  rd m all
12-22 05:51:59  ST,134,x,128583,128556,+00.3618,y,127456,127299,-00.0198,+00.0013

12-22 05:52:00  rd m all
12-22 05:52:00  ST,134,x,128583,128556,+00.3618,y,127456,127299,-00.0198,+00.0013

12-22 05:52:01  rd m all
12-22 05:52:02  ST,134,x,128583,128556,+00.3618,y,127456,127299,-00.0198,+00.0013

12-22 05:52:03  rd m all
12-22 05:52:03  ST,134,x,128583,128556,+00.3618,y,127456,127299,-00.0198,+00.0013

12-22 05:52:04  rd m all
12-22 05:52:05  ST,134,x,128583,128556,+00.3618,y,127456,127299,-00.0198,+00.0013

12-22 06:22:13  rd m all
12-22 06:22:14  ST,128,x,128601,128566,+00.3646,y,127476,127292,-00.0218,+00.0013

12-22 06:22:15  rd m all
12-22 06:22:15  ST,128,x,128601,128566,+00.3646,y,127476,127292,-00.0218,+00.0013

12-22 06:22:16  rd m all
12-22 06:22:17  ST,128,x,128601,128566,+00.3646,y,127476,127292,-00.0218,+00.0013

12-22 06:22:18  rd m all
12-22 06:22:18  ST,129,x,128601,128567,+00.3649,y,127476,127296,-00.0207,+00.0013

12-22 06:22:19  rd m all
12-22 06:22:20  ST,129,x,128601,128567,+00.3649,y,127476,127296,-00.0207,+00.0013

12-22 06:52:29  rd m all
12-22 06:52:29  ST,123,x,128618,128577,+00.3678,y,127498,127291,-00.0221,+00.0013

12-22 06:52:30  rd m all
12-22 06:52:30  ST,123,x,128618,128577,+00.3678,y,127498,127291,-00.0221,+00.0013

12-22 06:52:32  rd m all
12-22 06:52:32  ST,123,x,128618,128577,+00.3678,y,127498,127291,-00.0221,+00.0013

12-22 06:52:33  rd m all
12-22 06:52:33  ST,123,x,128618,128577,+00.3678,y,127498,127291,-00.0221,+00.0013

12-22 06:52:35  rd m all
12-22 06:52:35  ST,123,x,128618,128577,+00.3678,y,127498,127291,-00.0221,+00.0013

12-22 07:22:44  rd m all
12-22 07:22:44  ST,117,x,128638,128589,+00.3712,y,127519,127285,-00.0238,+00.0013

12-22 07:22:45  rd m all
12-22 07:22:45  ST,117,x,128638,128589,+00.3712,y,127519,127285,-00.0238,+00.0013

12-22 07:22:47  rd m all
12-22 07:22:47  ST,117,x,128638,128589,+00.3712,y,127519,127285,-00.0238,+00.0013

12-22 07:22:48  rd m all
12-22 07:22:48  ST,117,x,128638,128589,+00.3712,y,127519,127285,-00.0238,+00.0013

12-22 07:22:50  rd m all
12-22 07:22:50  ST,117,x,128638,128589,+00.3712,y,127519,127285,-00.0238,+00.0013

12-22 07:52:59  rd m all
12-22 07:52:59  ST,111,x,128656,128599,+00.3741,y,127540,127278,-00.0258,+00.0013

12-22 07:53:00  rd m all
12-22 07:53:00  ST,111,x,128656,128599,+00.3741,y,127540,127278,-00.0258,+00.0013

12-22 07:53:02  rd m all
12-22 07:53:02  ST,111,x,128656,128599,+00.3741,y,127540,127278,-00.0258,+00.0013

12-22 07:53:03  rd m all
12-22 07:53:03  ST,111,x,128656,128599,+00.3741,y,127540,127278,-00.0258,+00.0013

12-22 07:53:05  rd m all
